model,dataset,budget_pct,selector,expected_basename,exists_final_json,exists_final_jsonl,status,n,gate_ok,score_pct,static_reference_score_pct,dense_reference_score_pct,dynamic_minus_static_pp,accuracy_delta_pp,token_reduction_pct,flop_reduction_pct,path_json,path_jsonl
llava15,textvqa,75,textsim,dynamic_which_final_textsim_p75_ocr_on,True,True,complete,5000,True,53.48,57.39,57.65,-3.91,-4.17,21.74,22.3,results/runs/llava15/textvqa/dynamic_which_final_textsim_p75_ocr_on.json,results/runs/llava15/textvqa/dynamic_which_final_textsim_p75_ocr_on.jsonl
llava15,docvqa,15,textsim,dynamic_which_final_textsim_p15_instruction_on,True,True,complete,5349,True,11.41,17.73,21.53,-6.32,-10.12,80.18,80.67,results/runs/llava15/docvqa/dynamic_which_final_textsim_p15_instruction_on.json,results/runs/llava15/docvqa/dynamic_which_final_textsim_p15_instruction_on.jsonl
llava15,docvqa,25,textsim,dynamic_which_final_textsim_p25_instruction_on,True,True,complete,5349,True,12.5,19.32,21.53,-6.82,-9.03,70.69,71.33,results/runs/llava15/docvqa/dynamic_which_final_textsim_p25_instruction_on.json,results/runs/llava15/docvqa/dynamic_which_final_textsim_p25_instruction_on.jsonl
llava15,docvqa,35,textsim,dynamic_which_final_textsim_p35_instruction_on,True,True,complete,5349,True,13.35,20.09,21.53,-6.74,-8.18,61.2,61.93,results/runs/llava15/docvqa/dynamic_which_final_textsim_p35_instruction_on.json,results/runs/llava15/docvqa/dynamic_which_final_textsim_p35_instruction_on.jsonl
llava15,docvqa,50,textsim,dynamic_which_final_textsim_p50_instruction_on,True,True,complete,5349,True,14.47,20.75,21.53,-6.28,-7.06,47.13,47.9,results/runs/llava15/docvqa/dynamic_which_final_textsim_p50_instruction_on.json,results/runs/llava15/docvqa/dynamic_which_final_textsim_p50_instruction_on.jsonl
llava15,docvqa,75,textsim,dynamic_which_final_textsim_p75_instruction_on,True,True,complete,5349,True,17.39,21.36,21.53,-3.97,-4.14,23.56,24.12,results/runs/llava15/docvqa/dynamic_which_final_textsim_p75_instruction_on.json,results/runs/llava15/docvqa/dynamic_which_final_textsim_p75_instruction_on.jsonl
qwen25vl7b,gqa,15,textsim,dynamic_which_final_textsim_p15,True,True,complete,12578,True,53.45,56.04,60.96,-2.59,-7.51,76.28,76.56,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p15.json,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p15.jsonl
qwen25vl7b,gqa,25,textsim,dynamic_which_final_textsim_p25,True,True,complete,12578,True,55.97,58.77,60.96,-2.8,-4.99,67.37,67.71,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p25.json,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p25.jsonl
qwen25vl7b,gqa,35,textsim,dynamic_which_final_textsim_p35,True,True,complete,12578,True,57.47,59.99,60.96,-2.52,-3.49,58.34,58.71,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p35.json,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p35.jsonl
qwen25vl7b,gqa,50,textsim,dynamic_which_final_textsim_p50,True,True,complete,12578,True,58.87,60.53,60.96,-1.66,-2.09,44.91,45.29,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p50.json,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p50.jsonl
qwen25vl7b,gqa,75,textsim,dynamic_which_final_textsim_p75,True,True,complete,12578,True,60.17,60.85,60.96,-0.68,-0.79,22.44,22.71,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p75.json,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p75.jsonl
qwen25vl7b,vqav2,15,textsim,dynamic_which_final_textsim_p15,True,True,complete,25000,True,73.55,76.16,84.27,-2.61,-10.72,76.74,77.01,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p15.json,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p15.jsonl
qwen25vl7b,vqav2,25,textsim,dynamic_which_final_textsim_p25,True,True,complete,25000,True,77.5,78.89,84.27,-1.39,-6.77,67.76,68.1,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p25.json,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p25.jsonl
qwen25vl7b,vqav2,35,textsim,dynamic_which_final_textsim_p35,True,True,complete,25000,True,79.54,80.49,84.27,-0.95,-4.73,58.68,59.06,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p35.json,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p35.jsonl
qwen25vl7b,vqav2,50,textsim,dynamic_which_final_textsim_p50,True,True,complete,25000,True,81.7,82.09,84.27,-0.39,-2.57,45.17,45.55,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p50.json,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p50.jsonl
qwen25vl7b,vqav2,75,textsim,dynamic_which_final_textsim_p75,True,True,complete,25000,True,83.6,83.66,84.27,-0.06,-0.67,22.58,22.84,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p75.json,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p75.jsonl
qwen25vl7b,textvqa,15,textsim,dynamic_which_final_textsim_p15_ocr_on,True,True,complete,5000,True,60.56,53.06,81.06,7.5,-20.5,77.98,78.65,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p15_ocr_on.json,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p15_ocr_on.jsonl
qwen25vl7b,textvqa,25,textsim,dynamic_which_final_textsim_p25_ocr_on,True,True,complete,5000,True,67.53,59.17,81.06,8.36,-13.53,68.81,69.64,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p25_ocr_on.json,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p25_ocr_on.jsonl
qwen25vl7b,textvqa,35,textsim,dynamic_which_final_textsim_p35_ocr_on,True,True,complete,5000,True,71.36,63.57,81.06,7.79,-9.7,59.61,60.56,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p35_ocr_on.json,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p35_ocr_on.jsonl
qwen25vl7b,textvqa,50,textsim,dynamic_which_final_textsim_p50_ocr_on,True,True,complete,5000,True,76.08,70.14,81.06,5.94,-4.98,45.86,46.84,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p50_ocr_on.json,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p50_ocr_on.jsonl
qwen25vl7b,textvqa,75,textsim,dynamic_which_final_textsim_p75_ocr_on,True,True,complete,5000,True,79.8,78.43,81.06,1.37,-1.26,22.94,23.63,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p75_ocr_on.json,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p75_ocr_on.jsonl
qwen25vl7b,docvqa,15,textsim,dynamic_which_final_textsim_p15_instruction_on,True,True,complete,5349,True,33.09,29.9,94.76,3.19,-61.67,82.19,82.88,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p15_instruction_on.json,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p15_instruction_on.jsonl
qwen25vl7b,docvqa,25,textsim,dynamic_which_final_textsim_p25_instruction_on,True,True,complete,5349,True,46.57,49.55,94.76,-2.98,-48.19,72.51,73.44,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p25_instruction_on.json,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p25_instruction_on.jsonl
qwen25vl7b,docvqa,35,textsim,dynamic_which_final_textsim_p35_instruction_on,True,True,complete,5349,True,57.53,68.86,94.76,-11.33,-37.23,62.86,63.95,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p35_instruction_on.json,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p35_instruction_on.jsonl
qwen25vl7b,docvqa,50,textsim,dynamic_which_final_textsim_p50_instruction_on,True,True,complete,5349,True,71.36,84.79,94.76,-13.43,-23.4,48.34,49.51,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p50_instruction_on.json,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p50_instruction_on.jsonl
qwen25vl7b,docvqa,75,textsim,dynamic_which_final_textsim_p75_instruction_on,True,True,complete,5349,True,88.04,93.98,94.76,-5.94,-6.72,24.18,25.03,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p75_instruction_on.json,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p75_instruction_on.jsonl
