model,dataset,selector,budget_pct,n,status,score_pct,static_reference_score_pct,dense_reference_score_pct,dynamic_minus_static_pp,accuracy_delta_pp,flop_reduction_pct,gate_ok,path
llava15,textvqa,textsim,25,200,n200_pilot,47.65,55.7,56.75,-8.05,-9.1,64.82,True,results/runs/llava15/textvqa/dynamic_which_pilot_n200_textsim_p25_ocr_on.json
llava15,textvqa,textsim,35,5000,final,49.76,56.71,57.65,-6.95,-7.89,57.27,True,results/runs/llava15/textvqa/dynamic_which_final_textsim_p35_ocr_on.json
llava15,textvqa,textsim,35,200,n200_pilot,50.8,59.05,56.75,-8.25,-5.95,56.28,True,results/runs/llava15/textvqa/dynamic_which_pilot_n200_textsim_p35_ocr_on.json
llava15,textvqa,textsim,50,5000,final,50.81,56.4,57.65,-5.59,-6.84,44.29,True,results/runs/llava15/textvqa/dynamic_which_final_textsim_p50_ocr_on.json
llava15,textvqa,textsim,50,200,n200_pilot,50.35,57.9,56.75,-7.55,-6.4,43.52,True,results/runs/llava15/textvqa/dynamic_which_pilot_n200_textsim_p50_ocr_on.json
llava15,textvqa,textsim,75,5000,final,53.48,57.39,57.65,-3.91,-4.17,22.3,True,results/runs/llava15/textvqa/dynamic_which_final_textsim_p75_ocr_on.json
llava15,textvqa,textsim_cls_mix,25,200,n200_pilot,50.2,55.7,56.75,-5.5,-6.55,64.82,True,results/runs/llava15/textvqa/dynamic_which_pilot_n200_textsim_cls_mix_p25_ocr_on.json
llava15,textvqa,textsim_cls_mix,35,200,n200_pilot,51.0,59.05,56.75,-8.05,-5.75,56.28,True,results/runs/llava15/textvqa/dynamic_which_pilot_n200_textsim_cls_mix_p35_ocr_on.json
llava15,textvqa,textsim_cls_mix,50,200,n200_pilot,53.85,57.9,56.75,-4.05,-2.9,43.52,True,results/runs/llava15/textvqa/dynamic_which_pilot_n200_textsim_cls_mix_p50_ocr_on.json
llava15,textvqa,textsim_ref,25,200,unknown,47.65,55.7,56.75,-8.05,-9.1,64.82,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p25_ocr_on.json
llava15,textvqa,textsim_ref,25,20,unknown,31.5,36.0,41.5,-4.5,-10.0,64.19,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n20_textsim_ref_p25_ocr_on.json
llava15,textvqa,textsim_ref,35,200,unknown,50.8,59.05,56.75,-8.25,-5.95,56.28,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p35_ocr_on.json
llava15,textvqa,textsim_ref,50,200,unknown,50.35,57.9,56.75,-7.55,-6.4,43.52,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p50_ocr_on.json
llava15,vqav2,saliency_mix_ref,25,200,unknown,73.33,74.67,77.33,-1.34,-4.0,71.79,True,results/runs/llava15/vqav2/dynamic_which_ref_pilot_n200_saliency_mix_ref_p25.json
llava15,vqav2,saliency_mix_ref,35,200,unknown,72.83,75.5,77.33,-2.67,-4.5,62.33,True,results/runs/llava15/vqav2/dynamic_which_ref_pilot_n200_saliency_mix_ref_p35.json
llava15,vqav2,static_guarded_textsim_ref,25,200,unknown,73.5,74.67,77.33,-1.17,-3.83,71.79,True,results/runs/llava15/vqav2/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p25.json
llava15,vqav2,static_guarded_textsim_ref,35,200,unknown,76.5,75.5,77.33,1.0,-0.83,62.33,True,results/runs/llava15/vqav2/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p35.json
llava15,vqav2,textsim,15,25000,final,68.33,73.36,77.33,-5.03,-9.0,81.19,True,results/runs/llava15/vqav2/dynamic_which_final_textsim_p15.json
llava15,vqav2,textsim,25,25000,final,70.03,75.55,77.33,-5.52,-7.3,71.79,True,results/runs/llava15/vqav2/dynamic_which_final_textsim_p25.json
llava15,vqav2,textsim,25,200,n200_pilot,71.5,74.67,77.33,-3.17,-5.83,71.79,True,results/runs/llava15/vqav2/dynamic_which_pilot_n200_textsim_p25.json
llava15,vqav2,textsim,35,25000,final,71.32,76.13,77.33,-4.81,-6.01,62.33,True,results/runs/llava15/vqav2/dynamic_which_final_textsim_p35.json
llava15,vqav2,textsim,35,200,n200_pilot,71.67,75.5,77.33,-3.83,-5.66,62.33,True,results/runs/llava15/vqav2/dynamic_which_pilot_n200_textsim_p35.json
llava15,vqav2,textsim,50,25000,final,73.14,76.94,77.33,-3.8,-4.19,48.21,True,results/runs/llava15/vqav2/dynamic_which_final_textsim_p50.json
llava15,vqav2,textsim,75,25000,final,75.72,77.31,77.33,-1.59,-1.61,24.28,True,results/runs/llava15/vqav2/dynamic_which_final_textsim_p75.json
llava15,vqav2,textsim_cls_mix,25,200,n200_pilot,73.33,74.67,77.33,-1.34,-4.0,71.79,True,results/runs/llava15/vqav2/dynamic_which_pilot_n200_textsim_cls_mix_p25.json
llava15,vqav2,textsim_cls_mix,35,200,n200_pilot,72.83,75.5,77.33,-2.67,-4.5,62.33,True,results/runs/llava15/vqav2/dynamic_which_pilot_n200_textsim_cls_mix_p35.json
llava15,vqav2,textsim_ref,25,200,unknown,71.5,74.67,77.33,-3.17,-5.83,71.79,True,results/runs/llava15/vqav2/dynamic_which_ref_pilot_n200_textsim_ref_p25.json
llava15,vqav2,textsim_ref,35,200,unknown,71.67,75.5,77.33,-3.83,-5.66,62.33,True,results/runs/llava15/vqav2/dynamic_which_ref_pilot_n200_textsim_ref_p35.json
qwen25vl7b,docvqa,saliency_mix_ref,25,200,unknown,39.6,49.1,88.2,-9.5,-48.6,73.47,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p25_instruction_on.json
qwen25vl7b,docvqa,saliency_mix_ref,35,200,unknown,53.59,67.84,88.2,-14.25,-34.61,63.97,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p35_instruction_on.json
qwen25vl7b,docvqa,saliency_mix_ref,50,200,unknown,70.17,80.15,88.2,-9.98,-18.03,49.53,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p50_instruction_on.json
qwen25vl7b,docvqa,static_guarded_textsim_ref,25,200,unknown,41.33,49.1,88.2,-7.77,-46.87,73.47,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p25_instruction_on.json
qwen25vl7b,docvqa,static_guarded_textsim_ref,35,200,unknown,56.46,67.84,88.2,-11.38,-31.74,63.97,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p35_instruction_on.json
qwen25vl7b,docvqa,static_guarded_textsim_ref,50,200,unknown,71.6,80.15,88.2,-8.55,-16.6,49.53,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p50_instruction_on.json
qwen25vl7b,docvqa,textsim,15,5349,final,33.09,29.9,94.76,3.19,-61.67,82.88,True,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p15_instruction_on.json
qwen25vl7b,docvqa,textsim,25,5349,final,46.57,49.55,94.76,-2.98,-48.19,73.44,True,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p25_instruction_on.json
qwen25vl7b,docvqa,textsim,25,200,n200_pilot,40.03,49.1,88.2,-9.07,-48.17,73.47,True,results/runs/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_p25_instruction_on.json
qwen25vl7b,docvqa,textsim,35,5349,final,57.53,68.86,94.76,-11.33,-37.23,63.95,True,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p35_instruction_on.json
qwen25vl7b,docvqa,textsim,35,200,n200_pilot,53.36,67.84,88.2,-14.48,-34.84,63.97,True,results/runs/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_p35_instruction_on.json
qwen25vl7b,docvqa,textsim,50,5349,final,71.36,84.79,94.76,-13.43,-23.4,49.51,True,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p50_instruction_on.json
qwen25vl7b,docvqa,textsim,50,200,n200_pilot,64.69,80.15,88.2,-15.46,-23.51,49.53,True,results/runs/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_p50_instruction_on.json
qwen25vl7b,docvqa,textsim,75,5349,final,88.04,93.98,94.76,-5.94,-6.72,25.03,True,results/runs/qwen25vl7b/docvqa/dynamic_which_final_textsim_p75_instruction_on.json
qwen25vl7b,docvqa,textsim_norm_mix,25,200,n200_pilot,39.6,49.1,88.2,-9.5,-48.6,73.47,True,results/runs/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_norm_mix_p25_instruction_on.json
qwen25vl7b,docvqa,textsim_norm_mix,35,200,n200_pilot,53.59,67.84,88.2,-14.25,-34.61,63.97,True,results/runs/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_norm_mix_p35_instruction_on.json
qwen25vl7b,docvqa,textsim_norm_mix,50,200,n200_pilot,70.17,80.15,88.2,-9.98,-18.03,49.53,True,results/runs/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_norm_mix_p50_instruction_on.json
qwen25vl7b,docvqa,textsim_ref,25,200,unknown,40.03,49.1,88.2,-9.07,-48.17,73.47,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_textsim_ref_p25_instruction_on.json
qwen25vl7b,docvqa,textsim_ref,35,200,unknown,53.36,67.84,88.2,-14.48,-34.84,63.97,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_textsim_ref_p35_instruction_on.json
qwen25vl7b,docvqa,textsim_ref,50,200,unknown,64.69,80.15,88.2,-15.46,-23.51,49.53,True,results/runs/qwen25vl7b/docvqa/dynamic_which_ref_pilot_n200_textsim_ref_p50_instruction_on.json
qwen25vl7b,gqa,saliency_mix_ref,25,200,unknown,67.0,67.0,68.0,0.0,-1.0,67.55,True,results/runs/qwen25vl7b/gqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p25.json
qwen25vl7b,gqa,saliency_mix_ref,35,200,unknown,67.5,68.0,68.0,-0.5,-0.5,58.59,True,results/runs/qwen25vl7b/gqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p35.json
qwen25vl7b,gqa,static_guarded_textsim_ref,25,200,unknown,65.5,67.0,68.0,-1.5,-2.5,67.55,True,results/runs/qwen25vl7b/gqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p25.json
qwen25vl7b,gqa,static_guarded_textsim_ref,35,200,unknown,67.5,68.0,68.0,-0.5,-0.5,58.59,True,results/runs/qwen25vl7b/gqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p35.json
qwen25vl7b,gqa,textsim,15,12578,final,53.45,56.04,60.96,-2.59,-7.51,76.56,True,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p15.json
qwen25vl7b,gqa,textsim,25,12578,final,55.97,58.77,60.96,-2.8,-4.99,67.71,True,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p25.json
qwen25vl7b,gqa,textsim,25,200,n200_pilot,60.0,67.0,68.0,-7.0,-8.0,67.55,True,results/runs/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_p25.json
qwen25vl7b,gqa,textsim,35,12578,final,57.47,59.99,60.96,-2.52,-3.49,58.71,True,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p35.json
qwen25vl7b,gqa,textsim,35,200,n200_pilot,61.0,68.0,68.0,-7.0,-7.0,58.59,True,results/runs/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_p35.json
qwen25vl7b,gqa,textsim,50,12578,final,58.87,60.53,60.96,-1.66,-2.09,45.29,True,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p50.json
qwen25vl7b,gqa,textsim,75,12578,final,60.17,60.85,60.96,-0.68,-0.79,22.71,True,results/runs/qwen25vl7b/gqa/dynamic_which_final_textsim_p75.json
qwen25vl7b,gqa,textsim,75,20,n20_smoke,60.0,55.0,60.0,5.0,0.0,22.95,True,results/runs/qwen25vl7b/gqa/dynamic_which_pilot_n20_textsim_p75.json
qwen25vl7b,gqa,textsim_norm_mix,25,200,n200_pilot,67.0,67.0,68.0,0.0,-1.0,67.55,True,results/runs/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_norm_mix_p25.json
qwen25vl7b,gqa,textsim_norm_mix,35,200,n200_pilot,67.5,68.0,68.0,-0.5,-0.5,58.59,True,results/runs/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_norm_mix_p35.json
qwen25vl7b,gqa,textsim_ref,25,200,unknown,60.0,67.0,68.0,-7.0,-8.0,67.55,True,results/runs/qwen25vl7b/gqa/dynamic_which_ref_pilot_n200_textsim_ref_p25.json
qwen25vl7b,gqa,textsim_ref,25,20,unknown,50.0,50.0,60.0,0.0,-10.0,68.11,True,results/runs/qwen25vl7b/gqa/dynamic_which_ref_pilot_n20_textsim_ref_p25.json
qwen25vl7b,gqa,textsim_ref,35,200,unknown,61.0,68.0,68.0,-7.0,-7.0,58.59,True,results/runs/qwen25vl7b/gqa/dynamic_which_ref_pilot_n200_textsim_ref_p35.json
qwen25vl7b,textvqa,textsim,15,5000,final,60.56,53.06,81.06,7.5,-20.5,78.65,True,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p15_ocr_on.json
qwen25vl7b,textvqa,textsim,15,1000,n1000_confirm,62.46,52.76,81.25,9.7,-18.79,78.69,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p15_ocr_on.json
qwen25vl7b,textvqa,textsim,25,5000,final,67.53,59.17,81.06,8.36,-13.53,69.64,True,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p25_ocr_on.json
qwen25vl7b,textvqa,textsim,25,1000,n1000_confirm,68.61,60.02,81.25,8.59,-12.64,69.68,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p25_ocr_on.json
qwen25vl7b,textvqa,textsim,25,200,n200_pilot,66.25,59.35,80.6,6.9,-14.35,69.03,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_p25_ocr_on.json
qwen25vl7b,textvqa,textsim,35,5000,final,71.36,63.57,81.06,7.79,-9.7,60.56,True,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p35_ocr_on.json
qwen25vl7b,textvqa,textsim,35,1000,n1000_confirm,72.26,63.78,81.25,8.48,-8.99,60.59,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p35_ocr_on.json
qwen25vl7b,textvqa,textsim,35,200,n200_pilot,70.45,61.65,80.6,8.8,-10.15,60.02,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_p35_ocr_on.json
qwen25vl7b,textvqa,textsim,50,5000,final,76.08,70.14,81.06,5.94,-4.98,46.84,True,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p50_ocr_on.json
qwen25vl7b,textvqa,textsim,50,1000,n1000_confirm,75.68,70.19,81.25,5.49,-5.57,46.86,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p50_ocr_on.json
qwen25vl7b,textvqa,textsim,50,200,n200_pilot,73.25,72.75,80.6,0.5,-7.35,46.42,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_p50_ocr_on.json
qwen25vl7b,textvqa,textsim,75,5000,final,79.8,78.43,81.06,1.37,-1.26,23.63,True,results/runs/qwen25vl7b/textvqa/dynamic_which_final_textsim_p75_ocr_on.json
qwen25vl7b,textvqa,textsim,75,1000,n1000_confirm,79.57,78.06,81.25,1.51,-1.68,23.65,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p75_ocr_on.json
qwen25vl7b,textvqa,textsim_norm_mix,25,200,n200_pilot,60.6,59.35,80.6,1.25,-20.0,69.03,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_norm_mix_p25_ocr_on.json
qwen25vl7b,textvqa,textsim_norm_mix,35,200,n200_pilot,66.5,61.65,80.6,4.85,-14.1,60.02,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_norm_mix_p35_ocr_on.json
qwen25vl7b,textvqa,textsim_norm_mix,50,200,n200_pilot,66.6,72.75,80.6,-6.15,-14.0,46.42,True,results/runs/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_norm_mix_p50_ocr_on.json
qwen25vl7b,textvqa,textsim_ref,15,200,unknown,58.95,47.1,80.6,11.85,-21.65,77.95,True,results/runs/qwen25vl7b/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p15_ocr_on.json
qwen25vl7b,textvqa,textsim_ref,25,200,unknown,66.25,59.35,80.6,6.9,-14.35,69.03,True,results/runs/qwen25vl7b/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p25_ocr_on.json
qwen25vl7b,textvqa,textsim_ref,35,200,unknown,70.45,61.65,80.6,8.8,-10.15,60.02,True,results/runs/qwen25vl7b/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p35_ocr_on.json
qwen25vl7b,textvqa,textsim_ref,50,200,unknown,73.25,72.75,80.6,0.5,-7.35,46.42,True,results/runs/qwen25vl7b/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p50_ocr_on.json
qwen25vl7b,textvqa,textsim_ref,75,200,unknown,77.75,76.1,80.6,1.65,-2.85,23.43,True,results/runs/qwen25vl7b/textvqa/dynamic_which_ref_pilot_n200_textsim_ref_p75_ocr_on.json
qwen25vl7b,vqav2,saliency_mix_ref,25,200,unknown,81.33,79.83,83.0,1.5,-1.67,68.01,True,results/runs/qwen25vl7b/vqav2/dynamic_which_ref_pilot_n200_saliency_mix_ref_p25.json
qwen25vl7b,vqav2,saliency_mix_ref,35,200,unknown,80.5,80.5,83.0,0.0,-2.5,58.97,True,results/runs/qwen25vl7b/vqav2/dynamic_which_ref_pilot_n200_saliency_mix_ref_p35.json
qwen25vl7b,vqav2,static_guarded_textsim_ref,25,200,unknown,81.33,79.83,83.0,1.5,-1.67,68.01,True,results/runs/qwen25vl7b/vqav2/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p25.json
qwen25vl7b,vqav2,static_guarded_textsim_ref,35,200,unknown,80.33,80.5,83.0,-0.17,-2.67,58.97,True,results/runs/qwen25vl7b/vqav2/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p35.json
qwen25vl7b,vqav2,textsim,15,25000,final,73.55,76.16,84.27,-2.61,-10.72,77.01,True,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p15.json
qwen25vl7b,vqav2,textsim,25,25000,final,77.5,78.89,84.27,-1.39,-6.77,68.1,True,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p25.json
qwen25vl7b,vqav2,textsim,25,200,n200_pilot,76.5,79.83,83.0,-3.33,-6.5,68.01,True,results/runs/qwen25vl7b/vqav2/dynamic_which_pilot_n200_textsim_p25.json
qwen25vl7b,vqav2,textsim,35,25000,final,79.54,80.49,84.27,-0.95,-4.73,59.06,True,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p35.json
qwen25vl7b,vqav2,textsim,35,200,n200_pilot,78.5,80.5,83.0,-2.0,-4.5,58.97,True,results/runs/qwen25vl7b/vqav2/dynamic_which_pilot_n200_textsim_p35.json
qwen25vl7b,vqav2,textsim,50,25000,final,81.7,82.09,84.27,-0.39,-2.57,45.55,True,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p50.json
qwen25vl7b,vqav2,textsim,75,25000,final,83.6,83.66,84.27,-0.06,-0.67,22.84,True,results/runs/qwen25vl7b/vqav2/dynamic_which_final_textsim_p75.json
